
id,name,nomen,sex,parent
406,MANL0406 A. Manlius (9) T. f. A. n. Capitolinus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4954
414,FURI0414 L. Furius (41) M. f. L. n. Camillus,Furius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,340
415,QUIN0415 T. Quinctius (32) (T. f. L. n.) Cincinnatus Capitolinus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,254
415,QUIN0415 T. Quinctius (32) (T. f. L. n.) Cincinnatus Capitolinus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,291
426,CORN0426 Ser. Cornelius (254) P. f. M. n. Maluginensis,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,334
427,QUIN0427 L. Quinctius (29) (- f. - n.) Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,231
429,VALE0429 P. Valerius (308) L. f. L. n. Potitus Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,306
444,FABI0444 M. Fabius (43) K. f. M. n. Ambustus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,322
445,SULP0445 C. Sulpicius (83) M. f. Q. n. Peticus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4980
450,MANL0450 P. Manlius (52) A. f. A. n. Capitolinus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,332
465,SULP0465 Ser. Sulpicius (88) Praetextatus Praetextatus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,388
475,QUIN0475 Q. Quinctius (31) (Cincinnatus),Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,303
483,QUIN0483 T. Quinctius (35) Pennus Capitolinus Crispinus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,415
486,FURI0486 Sp. Furius (48) M. f. L. n. Camillus,Furius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,340
487,QUIN0487 Cn. Quinctius (22) T. f. T. n. Capitolinus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,483
493,MANL0493 L. Manlius (54) A. f. A. n. Capitolinus Imperiosus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,406
497,MANL0497 T. Manlius (57) L. f. A. n. Imperiosus Torquatus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,493
498,FABI0498 M. Fabius (44) N. f. M. n. Ambustus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,400
499,POET0499 C. Poetelius (7) C. f. Q. n. Libo Visolus,Poetelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4986
500,MANL0500 Cn. Manlius (53) L. f. A. n. Capitolinus Imperiosus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,493
501,FABI0501 C. Fabius (40) N. f. M. n. Ambustus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,400
503,VALE0503 M. Valerius (299) L. f. L. n. Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,381
510,CORN0510 A. Cornelius (122) P. f. A. n. Cossus Arvina,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,326
511,VALE0511 P. Valerius (300) P. f. L. n. Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,429
513,CORN0513 L. Cornelius (322) P. f. Scipio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,376
519,CORN0519 P. Cornelius (329) P. f.  Scipio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,376
522,VALE0522 M. Valerius (137) M. f. M. n. Maximus Corvus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4959
525,SULP0525 Ser. Sulpicius (38) Camerinus Rufus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,465
526,FURI0526 L. Furius (42) Sp. f. M. n. Camillus,Furius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,486
529,AEMI0529 L. Aemilius (101) L. f. L. n. Mamercinus Privernas,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,484
534,PAPI0534 L. Papirius (52) Sp. f. L. n. Cursor,Papirius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4989
541,SULP0541 C. Sulpicius (75) Ser. f. Q. n. Longus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4965
543,CLAU0543 C. Claudius (183) (Ap. f. P. n. Crassus) Inregillensis,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,335
546,DUIL0546 K. Duillius (5),Duillius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4808
556,VALE0556 C. Valerius (306) L. f. L. n. Potitus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,381
559,FABI0559 Q. Fabius (114) M. f. N. n. Maximus Rullianus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,498
568,QUIN0568 L. Quinctius (11),Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,487
570,VALE0570 M. Valerius (244) M. f. M. n. Maximus Corvinus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,522
580,LIVI0580 L. Livius (4),Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,624
584,PLAU0584 L. Plautius (34) L. f. L. n. Venox or Venno or Venno,Plautius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,560
591,CLAU0591 Ap. Claudius (91) C. f. Ap. n. Caecus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,543
593,POET0593 M. Poetelius (6) M. f. M. n. Libo,Poetelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4991
596,DECI0596 P. Decius (16) P. f. Q. n. Mus,Decius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,515
601,MARC0601 C. Marcius (98) C. f. L. n. Rutilus Censorinus,Marcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,505
604,FABI0604 K. Fabius (19) M. f. N. n. (Maximus),Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,498
611,CORN0611 P. Cornelius (66) A. f. P. n. Arvina,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,510
615,FULV0615 M. Fulvius (47) L. f. L. n. Curvus Paetinus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,572
622,CORN0622 Ser. Cornelius (206) Cn. f. Cn. n. Lentulus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5171
624,LIVI0624 M. Livius (11) - f. C. n. Denter,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3349
628,CORN0628 L. Cornelius (343) Cn. f. Scipio Barbatus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5172
634,MINU0634 M. Minucius (42) Faesus,Minucius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,614
638,DOMI0638 Cn. Domitius (45) Cn. f. Cn. n. Calvinus Maximus,Domitius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,552
640,PAPI0640 L. Papirius (53) L. f. Sp. n. Cursor,Papirius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,534
642,FABI0642 Q. Fabius (112) Q. f. M. n. Maximus Gurges,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,559
645,FULV0645 C. Fulvius (45) Curvus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,615
647,ATIL0647 M. Atilius (50) M. f. M. n. Regulus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,547
658,CORN0658 P. Cornelius (302) Cn. f. P. n. Rufinus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,550
662,CLAU0662 M. Claudius (219) (M. f. C. n.) Marcellus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,557
669,AEMI0669 M. Aemilius (65) Lepidus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4754
680,AEMI0680 L. Aemilius (31) Q. f. Q. n. Barbula,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,588
681,MARC0681 Q. Marcius (78) Q. f. Q. n. Philippus,Marcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,610
682,VALE0682 P. Valerius (213) Laevinus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,556
684,SULP0684 P. Sulpicius (98) P. f. Ser. n. Saverrio,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,617
685,DECI0685 P. Decius (17) P. f. P. n. Mus,Decius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,596
688,CORN0688 L. Cornelius (210) Ti. f. Ser. n. Lentulus Caudinus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4803
692,FABI0692 N. Fabius (124) C. f. M. n. Pictor,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4816
696,QUIN0696 K. Quinctius (36) L. f. Cn. n. Claudus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,487
699,FULV0699 M. Fulvius (55) Q. f. M. n. Flaccus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,645
700,FABI0700 C. Fabius (123) C. f. M. n. Pictor,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4816
