
id,relativeid,relationshipid
1384,998,5
1384,1442,6
1384,787,19
1384,885,25
1387,1139,5
1390,1085,5
1392,1367,6
1395,1621,3
1395,4880,5
1395,4879,6
1395,681,19
1396,1513,3
1396,4228,4
1396,1077,5
1396,4028,18
1397,1596,3
1397,3991,3
1397,4881,3
1403,4787,3
1403,1205,5
1403,1764,25
1404,1616,3
1405,1666,3
1406,1800,3
1406,4669,4
1406,1170,5
1409,1035,5
1411,1623,3
1411,1689,3
1411,1696,3
1412,1558,3
1413,836,5
1413,1204,5
1413,1100,6
1413,1103,6
1413,1151,6
1413,1370,6
1415,4757,3
1415,4866,3
1415,1016,5
1415,1882,25
1417,1662,3
1417,1718,3
1417,1192,5
1417,2316,25
1418,984,5
1420,1703,3
1420,1728,3
1420,1172,5
1422,1594,3
1422,1134,5
1422,4201,5
1422,1504,6
1422,4020,6
1422,4022,6
1422,4051,6
1422,1209,7
1422,1545,14
1422,1542,19
1424,1635,3
1424,1665,3
1424,1677,3
1424,1701,3
1424,4029,3
1424,4054,3
1424,891,5
1424,1544,6
1424,2347,18
1424,891,19
1424,3614,21
1424,1787,25
1426,1600,3
1429,1622,3
1429,4022,4
1429,1504,13
1433,1656,3
1433,1682,3
1433,4020,4
1433,907,5
1433,4247,5
1433,3369,6
1434,1102,5
1439,1583,3
1439,1304,6
1441,1178,5
1441,699,19
1442,4885,3
1442,998,5
1442,1384,6
1442,787,19
1443,1705,3
1443,1705,25
1444,857,19
1447,1643,3
1447,1480,6
1449,1636,3
1449,977,5
1449,999,5
1452,1560,3
1452,1599,3
1452,1753,3
1452,1807,3
1452,3864,3
1452,4056,3
1452,4288,4
1452,1125,5
1452,2140,25
1454,1642,3
1454,4101,3
1454,995,5
1454,1265,6
1454,1828,25
1455,1041,5
1455,1237,6
1455,4225,6
1456,1596,3
1457,3383,25
1460,1888,3
1460,1201,5
1461,4039,3
1461,1244,5
1461,3602,6
1464,1727,3
1465,877,5
1465,1474,6
1466,1492,3
1466,1815,3
1466,4886,3
1466,930,5
1466,1802,25
1466,1815,25
1466,1821,25
1468,1627,3
1468,4038,3
1468,1749,25
1471,1553,3
1471,1626,3
1471,4707,3
1471,4709,5
1471,2038,18
1471,785,19
1471,1993,25
1474,3363,3
1474,877,5
1474,1465,6
1474,1792,25
1475,1652,3
1475,4887,3
1475,1947,25
1475,3552,25
1475,601,26
1476,1639,3
1476,2069,25
1476,4625,25
1480,1643,3
1480,1447,6
1481,1079,5
1481,1290,6
1483,1712,3
1483,1222,5
1483,4216,5
1483,1178,6
1483,1194,6
1483,1561,6
1483,1575,6
1484,1759,3
1484,1114,5
1484,1114,19
1484,1903,25
1484,1982,25
1485,1648,3
1485,1198,5
1485,1260,5
1485,870,19
1485,1054,19
1485,1866,25
1485,2026,25
1485,2163,25
1486,1183,5
1486,1537,6
1487,1105,5
1489,989,5
1492,1815,3
1492,1466,5
1492,1815,6
1492,4886,6
1494,1680,3
1494,3356,5
1495,4204,3
1495,4888,3
1495,1216,5
1495,1542,6
1495,4318,18
1495,4318,25
1495,4888,25
1499,1187,5
1499,1572,6
1500,3863,3
1500,4023,3
1500,4270,3
1500,3996,4
1500,1288,5
1500,1567,6
1500,4889,7
1500,926,19
1502,5037,3
1502,766,26
1503,1275,5
1503,1569,6
1504,4091,4
1504,1134,5
1504,4201,5
1504,1422,6
1504,4020,6
1504,4022,6
1504,4051,6
1504,1285,7
1504,3133,14
1504,1429,15
1504,1594,15
1504,1656,15
1504,1682,15
1504,3916,15
1504,878,31
1506,1732,3
1506,1090,5
1506,4806,5
1508,4817,19
1510,1713,3
1510,1896,25
1510,1974,25
1511,1141,5
1513,1695,3
1513,1396,5
1513,4228,5
1513,2347,18
1513,1077,19
1514,1224,5
1515,1100,5
1519,1651,3
1519,4021,3
1519,4245,3
1519,4755,5
1519,827,19
1519,1865,25
1520,1788,3
1520,2085,18
1521,1548,3
1521,1092,5
1523,2340,3
1523,3190,3
1523,3915,4
1523,3602,5
1524,3915,3
1524,3969,3
1524,992,5
1524,4028,18
1525,4169,3
1525,4890,3
1525,5007,3
1525,3864,4
1525,1182,5
1525,3946,5
1525,1598,6
1525,4091,6
1525,878,19
1533,4046,3
1533,1131,5
1533,1565,6
1534,4818,5
1534,1543,6
1534,925,19
1537,1183,5
1537,1486,6
1542,1216,5
1542,1495,6
1542,1422,25
1542,4892,25
1543,4818,5
1543,1534,6
1543,925,19
1543,1566,22
1544,1649,3
1544,1693,3
1544,3947,3
1544,891,5
1544,996,5
1544,1424,6
1545,1615,3
1545,1291,5
1545,1552,6
1545,1556,6
1545,1209,7
1545,1422,14
1547,1646,3
1547,4171,3
1547,1354,5
1547,4048,6
1548,3923,3
1548,3960,3
1548,1521,5
1550,1655,3
1550,4307,3
1550,4893,5
1550,1655,6
1550,4307,6
1550,975,19
1551,1805,3
1551,4035,3
1551,4276,5
1551,4903,6
1551,2170,25
1552,1755,3
1552,1291,5
1552,1545,6
1552,1556,6
1553,1067,5
1553,1471,5
1553,1180,6
1553,1626,6
1553,4706,6
1553,4707,6
1553,1565,16
1556,1629,3
1556,4156,3
1556,1291,5
1556,1545,6
1556,1552,6
1557,1776,3
1558,3372,3
1558,1412,5
1558,2157,25
1560,1452,8
1560,4288,8
1560,1599,9
1560,1753,9
1560,1807,9
1560,3864,9
1560,4056,9
1561,1222,5
1561,3344,5
1561,4216,5
1561,1178,6
1561,1194,6
1561,1483,6
1561,1575,6
1561,2164,25
1562,984,19
1563,3790,3
1563,1283,5
1563,1283,6
1563,1284,6
1563,1328,6
1565,2023,3
1565,3862,3
1565,3996,4
1565,1131,5
1565,1533,6
1565,1553,16
1566,885,3
1566,4819,3
1566,1384,5
1566,3364,6
1566,4878,6
1566,1543,7
1566,1966,25
1567,1692,3
1567,1288,5
1567,1500,6
1568,1990,25
1568,2290,25
1568,2356,25
1569,1275,5
1569,1503,6
1570,4213,16
1572,1730,3
1572,1187,5
1572,1499,6
1573,3603,3
1573,1323,5
1573,1332,5
1573,814,19
1574,1632,6
1575,1797,3
1575,1222,5
1575,4216,5
1575,1178,6
1575,1194,6
1575,1483,6
1575,1561,6
1575,2164,25
1576,1242,5
1576,1581,6
1581,1194,5
1581,1576,6
1583,1715,3
1583,1762,3
1583,1801,3
1583,1304,5
1583,1439,5
1589,3175,3
1589,3553,3
1590,1748,3
1590,3226,3
1590,3238,3
1590,1328,5
1590,1601,6
1591,4235,3
1591,1602,6
1594,4142,3
1594,1422,5
1594,1504,13
1594,1134,19
1594,3178,25
1595,4894,5
1595,1714,6
1595,1333,19
1596,4245,4
1596,1397,5
1596,1456,5
1596,3991,6
1596,4881,6
1598,4268,3
1598,4269,3
1598,3862,4
1598,3863,4
1598,1182,5
1598,3946,5
1598,1525,6
1598,4091,6
1598,878,19
1599,3167,3
1599,1118,5
1599,1452,5
1599,4288,5
1599,1560,6
1599,1753,6
1599,1807,6
1599,3864,6
1599,4056,6
1600,1826,3
1600,1426,5
1601,1328,5
1601,1590,6
1602,1591,6
1607,1356,5
1607,1617,6
1607,3405,6
1613,4031,3
1613,4032,3
1613,3969,4
1613,1289,5
1613,2119,25
1613,2440,25
1613,4028,25
1614,1757,3
1614,4686,25
1615,4235,4
1615,1545,5
1616,1740,3
1616,4359,3
1616,1404,5
1617,1873,3
1617,3018,3
1617,1356,5
1617,1607,6
1617,3405,6
1617,2031,25
1617,2036,25
1618,1176,19
1620,1871,3
1621,4895,3
1621,1395,5
1621,2226,25
1622,1429,5
1622,4022,5
1623,1835,3
1623,1411,5
1623,1689,6
1623,1696,6
1624,3865,3
1624,3993,3
1624,1247,5
1624,1194,19
1626,1180,5
1626,1471,5
1626,1180,6
1626,1553,6
1626,4706,6
1626,4707,6
1626,1865,22
1626,2038,25
1627,1749,3
1627,4710,3
1627,1468,5
1627,4038,6
1627,2282,16
1629,1796,3
1629,4172,3
1629,1556,5
1629,4156,6
1630,1763,3
1630,1816,3
1630,3919,3
1630,1366,5
1631,1883,3
1631,4210,3
1631,1362,5
1631,1883,6
1631,4210,6
1631,1798,24
1631,2012,25
1632,2970,3
1632,1574,6
1632,1190,19
