id,name,nomen,sexid,born,died
5097,DOMI5097 -. Domitius (not in RE),Domitius,1,-125,-80
5098,LAET5098 P. Laetorius (cf. Plaetorius 11),Laetorius,1,-125,-82
5100,PAPI5100 C. Papius (12) Mutilus,Papius,1,-125,-80
5101,SALT5101 Sex. Saltius (Saltius),Saltius,1,-125,-80
5102,"APPU5102 Sex. Appuleius (not in RE?, cf. 16a)",Appuleius,1,-125,-25
5104,ANON5104 -. - (cf. 1) Gutta,-,1,-125,-25
5106,PERP5106 -. (Perperna) (cf. 6),(Perperna),1,-125,-72
5107,VERS5107 -. Versius (1),Versius,1,-125,-71
5108,AEMI5108 -. Aemilius (not in RE) (Lepidus or Scaurus),Aemilius,1,-75,-43
5110,LABI5110 -. Labienus (2),Labienus,1,-125,-43
5111,LIGA5111 -. Ligarius (1),Ligarius,1,-75,-41
5113,"ACIL5113 -. Acilius (not in RE, cf. 15, 16)",Acilius,1,-75,25
5114,ANTI5114 -. Antius (2),Antius,1,-75,25
5115,ATIL5115 -. Atilius (5),Atilius,1,-75,25
5116,CANI5116 -. Caninius (6) Rebilus,Caninius,1,-75,25
5118,CNOR5118 L. Cnorius (not in RE),Cnorius,1,-75,25
5119,LUCC5119 Cn. Lucceius (3),Lucceius,1,-75,-25
5120,LUCI5120 -. Lucilius (2),Lucilius,1,-75,25
5122,OCTA5122 C. Octavius (not in RE),Octavius,1,-75,-30
5123,POMP5123 -. Pompeius (not in RE),Pompeius,1,-75,25
5124,POMP5124 -. Pompeius (50) Varus,Pompeius,1,-75,25
5125,POMP5125 -. Pomponius (2),Pomponius,1,-75,25
5126,SEXT5126 -. Sextius (33) Naso,Sextius,1,-75,-30
5127,TERE5127 M. Terentius (Licinius 110) Varro Lucullus,Terentius,1,-75,-42
5129,VENT5129 -. Ventidius (2),Ventidius,1,-75,25
5130,VOLU5130 P. Volumnius (8),Volumnius,1,-75,25
5131,CORN5131 -. Cornelius (281) Phagites,Cornelius,1,-125,-25
5132,ANON5132 -. - (2) Largus,-,1,-100,-41
5133,ACIL5133 -. Acilius (2),Acilius,1,-100,25
5134,ATIL5134 -. Atilius (6),Atilius,1,-100,-42
5135,ATIL5135 -. Atilius (cf. 6),Atilius,1,-125,-42
5136,FULV5136 -. Fulvius (3),Fulvius,1,-100,-43
5137,LOLL5137 -. Lollius (2),Lollius,1,-150,-82
5138,"MAMM5138 -. Mammius (Mamius 1, cf. Memmius 6, 13, 14)",Mammius,1,-150,-80
5139,MARI5139 -. Marius (2),Marius,1,-150,-80
5140,MENE5140 -. Menenius (2),Menenius,1,-100,25
5141,NANN5141 -. Nanneius (Nanneius),Nanneius,1,-150,-80
5142,SITT5142 -. Sittius (1) Calenus,Sittius,1,-100,25
5144,"VERG5144 -. Verginius (2, cf. 1)",Verginius,1,-100,25
5145,AURI5145 A. Aurius (3),Aurius,1,-150,-80
5146,DECI5146 Cn. Decidius (1) 'the Samnite',Decidius,1,-150,-25
5147,LIGA5147 C. Ligarius (not in RE),Ligarius,1,-75,-41
5148,"URBI5148 C. Urbinius (1, Urbinus 3) Panapio",Urbinius,1,-100,25
5149,ANTI5149 L. Antistius (1),Antistius,1,-150,-80
5150,AURI5150 L. Aurius (4) (Melinus),Aurius,1,-150,-80
5151,CART5151 L. Carteius (not in RE),Carteius,1,-100,25
5152,LAMP5152 M. Lamponius (Lamponius),Lamponius,1,-125,-80
5153,"APON5153 Q. Aponius (1, cf. 6)",Aponius,1,-100,-41
5154,AURE5154 Q. Aurelius (26),Aurelius,1,-150,-80
5156,VIBI5156 Sex. Vibius (6),Vibius,1,-150,-80
5157,CASS5157 M. Cassius (18) M. f. Pom.,Cassius,1,-125,-50
5158,ATEI5158 L. Ateius (4) Capito,Ateius,1,-125,-25
5159,FUND5159 C. Fundanius (1),Fundanius,1,-150,-75
5160,ALEX5160 -. Alexander (28) Helios,Alexander,1,-50,50
5161,CAES5161  Caesennia (14),Caesennia,2,-175,-25
5162,MANL5162 -. (Manlius) (44) Acidinus,(Manlius),1,-125,-25
5163,DECI5163 -. (Decimius) (not in RE) Flavus,(Decimius),1,-200,-100
5164,AEBU5164  Aebutius (1),Aebutius,1,-175,-75
5165,"FURI5165 M. Furius (20, cf. 56) C. f.",Furius,1,-250,-150
5166,CALP5166 L. (Calpurnius) (25) Bestia,(Calpurnius),1,-100,0
5167,"CISP5167 L. Cispius (3, cf. 6) (Laevus)",Cispius,1,-100,25
5168,VELL5168 -. Velleius (3),Velleius,1,-75,25
5169,"CORN5169 A. Cornelius (31, cf. 112) Cossus",Cornelius,1,-475,-375
5170,"PAPI5170 P. Papirius (58, 23, 64) Maso",Papirius,1,-250,-150
5171,CORN5171 Cn. Cornelius (cf. 206) Cn. f.,Cornelius,1,-400,-300
5172,CORN5172 Cn. Cornelius (cf. 343) Scipio,Cornelius,1,-400,-300
5173,COEL5173 M. Coelius (A),Coelius,1,-150,-50
5174,ANON5174 -. - (not in RE) Athamas,-,1,-125,-25
5175,ANON5175 -. - (not in RE) Autobulus,-,1,-125,-25
5176,ABUT5176 -. Abuttius (Laco 1 ) Laco,Abuttius,1,-125,-25
5177,ACCE5177 Cn. Accerronius (1),Accerronius,1,-125,-25
5178,"ACCI5178 L. Accius (1, 20)",Accius,1,-170,-80
5179,AEBU5179 M. Aebutius (6),Aebutius,1,-125,-25
5180,AEBU5180 Sex. Aebutius (9),Aebutius,1,-125,-25
5181,AELI5181 P. Aelius (11),Aelius,1,-125,-25
5182,AEMI5182 -. Aemilius (26) Alba,Aemilius,1,-125,-25
5183,ALBI5183 -. Albinovanus (1),Albinovanus,1,-125,-25
5184,ALBI5184 -. Albius (8) Stat. f. Clu. Oppianicus,Albius,1,-100,-1
5185,ALBI5185 C. Albius (9) Clu. Oppianicus,Albius,1,-125,-25
5186,ALBI5186 L. Albius (6) Sex. f.,Albius,1,-125,-25
5187,ANCH5187 C. Ancharius (6) Rufus,Ancharius,1,-125,-25
5188,ANCH5188 -. Ancharius (1),Ancharius,1,-125,-25
5189,ANNA5189  Annaea (20),Annaea,2,-125,-25
5190,ANNI5190 L. Annius (12),Annius,1,-125,-25
5191,APIN5191 P. Apinius (1),Apinius,1,-75,-1
5192,APPU5192 L. Appuleius (11),Appuleius,1,-125,-25
5193,APRO5193 Q. Apronius (5),Apronius,1,-125,-25
5194,ASIC5194 P. Asicius (1),Asicius,1,-125,-25
5195,ASUV5195 -. Asuvius (1) Clu.,Asuvius,1,-100,-1
5196,ATID5196 -. Atidius (1),Atidius,1,-125,-25
5197,ATIL5197 A. Atilius (10),Atilius,1,-125,-25
5198,ATIL5198 L. Atilius (cf. 10) A. f.,Atilius,1,-100,-1
5199,AURI5199  Auria (7),Auria,2,-125,-25
5200,AURI5200 M. Aurius (5) Clu.,Aurius,1,-100,-1
5201,AURI5201 N. Aurius (6) Clu.,Aurius,1,-100,-1
5202,AVIL5202 -. Avilius (2) Clu.,Avilius,1,-125,-25
5203,BAEB5203 M. Baebius (19),Baebius,1,-125,-25
5204,BALB5204 -. Balbutius (Balbutius),Balbutius,1,-100,-1
5205,CACU5205 C. Cacurius (not in RE),Cacurius,1,-125,-25
5206,CAEC5206 -. Caecilius (25) Statius,Caecilius,1,-275,-168
5207,CAEL5207 L. Caelius (8),Caelius,1,-125,-25
5208,CAEP5208 M. Caeparius (Caeparius ),Caeparius,1,-125,-25
5209,CAES5209 P. Caesennius (3) Ste.,Caesennius,1,-125,-25
5210,CAES5210 C. Caesernius (not in RE),Caesernius,1,-125,-25
5211,CAET5211 -. Caetra (1),Caetra,1,-125,-25
5212,CALV5212 -. Calventius (not in RE),Calventius,1,-200,-100
5213,CAMU5213 M. Camurtius (not in RE),Camurtius,1,-125,-25
5214,CASC5214 -. Cascellius (1 and suppl. III),Cascellius,1,-125,-25
5215,CATI5215 Q. Catius (not in RE) Aemilianus,Catius,1,-125,-25
5216,CEIU5216 -. Ceius (not in RE),Ceius,1,-125,-25
5217,CLAU5217 C. Claudius (215) Marcellus,Claudius,1,-125,-25
5218,CLOD5218 C. Clodius (7),Clodius,1,-125,-25
5219,CLOD5219 Sex. Clodius (13),Clodius,1,-125,-25
5220,CLOD5220 Sex. Clodius (43) Phormio,Clodius,1,-125,-25
5221,CLOE5221 Sex. Cloelius (Clodius 12),Cloelius,1,-125,-25
5222,CLOE5222 T. Cloelius (Caelius 15) Ouf.,Cloelius,1,-125,-25
5223,CLUE5223  Cluentia (6),Cluentia,2,-100,-1
5224,COMI5224 Sex. Cominius (14),Cominius,1,-125,-25
5225,CORN5225 Cn. Cornelius (23),Cornelius,1,-125,-25
5226,CORN5226 -. Cornelius (6),Cornelius,1,-125,-25
5227,CORN5227 -. Cornelius (7),Cornelius,1,-75,25
5228,CRAS5228 L. Crassicius (1),Crassicius,1,-125,-25
5229,CURI5229 L. Curidius (not in RE),Curidius,1,-125,-25
5230,CURI5230 M'. Curius (5),Curius,1,-125,-25
5231,DECU5231 -. Decumus (not in RE),Decumus,1,-125,-25
5232,DINA5232 -. Dinaea (Dinaea),Dinaea,1,-125,-25
5233,ENNI5233 -. Ennius (Ennius),Ennius,1,-125,-25
5234,FABI5234 M. Fabius (26),Fabius,1,-125,-25
5235,FABI5235 P. Fabius (28),Fabius,1,-125,-25
5236,FABI5236 Q. Fabius (33),Fabius,1,-125,-25
5237,FABR5237 C. Fabricius (2),Fabricius,1,-125,-25
5238,FABR5238 L. Fabricius (3) Pob.,Fabricius,1,-125,-25
5239,FADI5239 -. Fadius (3),Fadius,1,-125,-25
5240,FANN5240 C. Fannius (17) Chaerea,Fannius,1,-125,-25
5241,FIDU5241 C. Fidulius (Fidulius),Fidulius,1,-125,-25
5242,FIRM5242 -. Firmidius (Firmidius),Firmidius,1,-125,-25
5243,FLAV5243 Q. Flavius (22) Ste.,Flavius,1,-175,-76
5244,FLOR5244 -. Florus (not in RE),Florus,1,-125,-25
5245,FUFI5245 C. Fuficius (2),Fuficius,1,-125,-25
5246,FULC5246 M. Fulcinius (4) Ste.,Fulcinius,1,-125,-25
5247,FULC5247 M. Fulcinius (cf. 4) M. f. Ste.,Fulcinius,1,-100,-1
5248,FULV5248 P. Fulvius (89) Neratus,Fulvius,1,-125,-25
5249,FURI5249 P. Furius (23),Furius,1,-125,-25
5250,FURI5250 -. Furius (3),Furius,1,-125,-25
5251,GALL5251 P. Gallonius (2),Gallonius,1,-125,-25
5252,GAVI5252 P. Gavius (6),Gavius,1,-125,-25
5253,GAVI5253 -. Gavius (not in RE) Olelus (),Gavius,1,-125,-25
5254,GRAN5254 P. Granius (6) Fal.,Granius,1,-125,-25
